UniProt_Proteome_ID	IDR_Long	IDR_Short
UP000030735	0.19	0.164
UP000029364	0.19	0.16
UP000030733	0.186	0.155
UP000002095	0.21	0.177
UP000005674	0.21	0.183
UP000005673	0.203	0.18
UP000007862	0.194	0.166
UP000001545	0.185	0.161
UP000005214	0.205	0.176
UP000005266	0.227	0.198
UP000001531	0.347	0.286
UP000002414	0.302	0.263
UP000002828	0.255	0.22
UP000202115	0.226	0.197
UP000019163	0.283	0.243
UP000203587	0.28	0.237
UP000002473	0.161	0.149
UP000000456	0.293	0.247
UP000030158	0.278	0.238
UP000010485	0.278	0.236
UP000203576	0.271	0.228
UP000203739	0.266	0.226
UP000007327	0.266	0.23
UP000002874	0.249	0.216
UP000026983	0.218	0.191
UP000000457	0.217	0.189
UP000000690	0.288	0.241
UP000008647	0.243	0.212
UP000204064	0.267	0.223
UP000030040	0.28	0.237
UP000008986	0.258	0.222
UP000024335	0.316	0.266
UP000146376	0.23	0.214
UP000029768	0.21	0.194
UP000201415	0.337	0.292
UP000204110	0.287	0.246
UP000204438	0.257	0.218
UP000019124	0.289	0.242
UP000012997	0.259	0.215
UP000204657	0.225	0.198
UP000010365	0.27	0.223
UP000202039	0.266	0.227
UP000001222	0.241	0.206
UP000204002	0.294	0.245
UP000207643	0.29	0.247
UP000033012	0.309	0.263
UP000033013	0.306	0.264
UP000030740	0.26	0.219
UP000007263	0.257	0.217
UP000201312	0.226	0.203
UP000203692	0.221	0.209
UP000211040	0.221	0.191
UP000202117	0.246	0.211
UP000204030	0.237	0.207
UP000029888	0.286	0.244
UP000001367	0.277	0.235
UP000000336	0.276	0.232
UP000001622	0.274	0.231
UP000202611	0.266	0.225
UP000000699	0.26	0.221
UP000001905	0.255	0.216
UP000000633	0.252	0.212
UP000001263	0.25	0.215
UP000001151	0.247	0.209
UP000006172	0.245	0.211
UP000018810	0.243	0.207
UP000001265	0.236	0.202
UP000203627	0.232	0.202
UP000008644	0.248	0.21
UP000026980	0.256	0.217
UP000203130	0.244	0.211
UP000018811	0.245	0.208
UP000146235	0.214	0.187
UP000153605	0.18	0.162
UP000155347	0.092	0.09
UP000172799	0.322	0.27
UP000052084	0.32	0.28
UP000052092	0.32	0.293
UP000134836	0.309	0.262
UP000124452	0.279	0.243
UP000102399	0.251	0.222
UP000123602	0.238	0.207
UP000201659	0.222	0.198
UP000115631	0.394	0.333
UP000172453	0.224	0.216
UP000124852	0.295	0.26
UP000222898	0.198	0.173
UP000101546	0.133	0.122
UP000052083	0.291	0.264
UP000204235	0.246	0.212
UP000202923	0.232	0.2
UP000201594	0.231	0.199
UP000202693	0.229	0.197
UP000008891	0.293	0.252
UP000019305	0.29	0.24
UP000008893	0.276	0.231
UP000008648	0.262	0.222
UP000030322	0.256	0.22
UP000008892	0.247	0.213
UP000019306	0.24	0.203
UP000203302	0.234	0.201
UP000202181	0.233	0.201
UP000002599	0.229	0.199
UP000007323	0.387	0.317
UP000006895	0.25	0.216
UP000203709	0.176	0.153
UP000002127	0.205	0.194
UP000202507	0.313	0.262
UP000007860	0.294	0.248
UP000000489	0.291	0.25
UP000009088	0.285	0.245
UP000002132	0.285	0.242
UP000000369	0.278	0.234
UP000008899	0.278	0.232
UP000000912	0.213	0.187
UP000000728	0.212	0.185
UP000001832	0.201	0.176
UP000185268	0.2	0.181
UP000002126	0.148	0.153
UP000000913	0.326	0.276
UP000013920	0.323	0.271
UP000002374	0.313	0.261
UP000030927	0.31	0.257
UP000002102	0.302	0.254
UP000010392	0.302	0.257
UP000010373	0.299	0.251
UP000002576	0.298	0.252
UP000010375	0.297	0.25
UP000001736	0.295	0.248
UP000010396	0.295	0.249
UP000012980	0.295	0.25
UP000007331	0.294	0.248
UP000001530	0.293	0.251
UP000010398	0.293	0.247
UP000203385	0.292	0.248
UP000010369	0.291	0.247
UP000010374	0.291	0.244
UP000010376	0.29	0.245
UP000010370	0.289	0.244
UP000010395	0.289	0.245
UP000010401	0.289	0.247
UP000001711	0.289	0.245
UP000002006	0.289	0.245
UP000010394	0.288	0.244
UP000029354	0.288	0.247
UP000203606	0.287	0.245
UP000002092	0.286	0.248
UP000001892	0.286	0.24
UP000019301	0.286	0.242
UP000000617	0.285	0.244
UP000000840	0.285	0.244
UP000204159	0.283	0.239
UP000008847	0.281	0.24
UP000010400	0.28	0.236
UP000001891	0.28	0.235
UP000204484	0.279	0.238
UP000000615	0.278	0.239
UP000002611	0.278	0.234
UP000010377	0.277	0.233
UP000010399	0.275	0.235
UP000019745	0.274	0.23
UP000010372	0.274	0.235
UP000012985	0.274	0.228
UP000001223	0.274	0.229
UP000019732	0.272	0.227
UP000001154	0.272	0.237
UP000027383	0.272	0.227
UP000000725	0.272	0.232
UP000010371	0.271	0.226
UP000001111	0.27	0.229
UP000001804	0.269	0.225
UP000001005	0.268	0.233
UP000008091	0.267	0.229
UP000030205	0.261	0.223
UP000033808	0.259	0.225
UP000202111	0.258	0.218
UP000009092	0.257	0.218
UP000001156	0.256	0.22
UP000009210	0.246	0.213
UP000030324	0.246	0.207
UP000002080	0.245	0.211
UP000202254	0.244	0.211
UP000011255	0.231	0.199
UP000001535	0.231	0.196
UP000002107	0.23	0.198
UP000001091	0.227	0.196
UP000008725	0.225	0.198
UP000009212	0.225	0.193
UP000007430	0.225	0.197
UP000000786	0.22	0.192
UP000002886	0.22	0.19
UP000001696	0.22	0.192
UP000009087	0.215	0.189
UP000000876	0.214	0.188
UP000000878	0.212	0.186
UP000009369	0.2	0.177
UP000009013	0.192	0.171
UP000029889	0.192	0.169
UP000008045	0.172	0.163
UP000002140	0.287	0.244
UP000002137	0.276	0.242
UP000000373	0.236	0.205
UP000000372	0.214	0.191
UP000001833	0.211	0.192
UP000002111	0.205	0.188
UP000030156	0.345	0.288
UP000000296	0.232	0.196
UP000008848	0.295	0.253
UP000029367	0.283	0.239
UP000001789	0.267	0.223
UP000018620	0.228	0.201
UP000014998	0.215	0.191
UP000171123	0.283	0.26
UP000167412	0.178	0.16
UP000052108	0.272	0.241
UP000117806	0.117	0.109
UP000123609	0.378	0.334
UP000217300	0.363	0.324
UP000052094	0.342	0.299
UP000103719	0.342	0.3
UP000152314	0.184	0.169
UP000172369	0.414	0.385
UP000232604	0.342	0.312
UP000117459	0.158	0.162
UP000008763	0.282	0.248
UP000030329	0.206	0.179
UP000014422	0.179	0.159
UP000202076	0.233	0.198
UP000203758	0.206	0.18
UP000201836	0.236	0.217
UP000033339	0.19	0.163
UP000135814	0.246	0.216
UP000117623	0.198	0.172
UP000160503	0.169	0.164
UP000052109	0.295	0.259
UP000151903	0.225	0.201
UP000166795	0.311	0.272
UP000114612	0.307	0.265
UP000140289	0.243	0.217
UP000133659	0.23	0.204
UP000143489	0.229	0.203
UP000100541	0.213	0.187
UP000204532	0.175	0.151
UP000204133	0.156	0.132
UP000162802	0.398	0.352
UP000201598	0.343	0.342
UP000203934	0.334	0.308
UP000029763	0.323	0.284
UP000202578	0.299	0.283
UP000132920	0.313	0.249
UP000202459	0.256	0.22
UP000203918	0.233	0.202
UP000201589	0.185	0.159
UP000001588	0.226	0.194
UP000203882	0.29	0.25
UP000008033	0.254	0.229
UP000240336	0.191	0.183
UP000201987	0.287	0.254
UP000001065	0.264	0.237
UP000007784	0.281	0.26
UP000204042	0.277	0.243
UP000203775	0.271	0.246
UP000207602	0.356	0.29
UP000033019	0.309	0.264
UP000201685	0.307	0.294
UP000161274	0.303	0.265
UP000202857	0.239	0.204
UP000203112	0.474	0.387
UP000203449	0.451	0.377
UP000202879	0.397	0.326
UP000007576	0.501	0.404
UP000001469	0.487	0.402
UP000002259	0.28	0.234
UP000012173	0.494	0.404
UP000202528	0.45	0.365
UP000002272	0.449	0.364
UP000002910	0.26	0.218
UP000002924	0.255	0.215
UP000002900	0.254	0.214
UP000054557	0.219	0.194
UP000000832	0.196	0.164
UP000110594	0.353	0.289
UP000121920	0.351	0.29
UP000116555	0.225	0.197
UP000008261	0.401	0.351
UP000007216	0.294	0.258
UP000117676	0.144	0.135
UP000107252	0.185	0.176
UP000000570	0.258	0.217
UP000002476	0.123	0.113
UP000006710	0.294	0.248
UP000167910	0.721	0.629
UP000139415	0.134	0.126
UP000167928	0.205	0.19
UP000006826	0.181	0.175
UP000121369	0.27	0.233
UP000007209	0.271	0.241
UP000096504	0.389	0.362
UP000143891	0.273	0.241
UP000009255	0.273	0.244
UP000008158	0.254	0.224
UP000008286	0.238	0.217
UP000136985	0.212	0.184
UP000165031	0.211	0.186
UP000100252	0.211	0.19
UP000232424	0.204	0.191
UP000207720	0.195	0.188
UP000201247	0.186	0.172
UP000143258	0.181	0.177
UP000232642	0.175	0.168
UP000232774	0.139	0.132
UP000173084	0.127	0.116
UP000119554	0.289	0.255
UP000001650	0.284	0.243
UP000007049	0.276	0.23
UP000029742	0.261	0.23
UP000000356	0.233	0.205
UP000000354	0.157	0.14
UP000139997	0.129	0.12
UP000006716	0.1	0.094
UP000008573	0.077	0.075
UP000009252	0.452	0.395
UP000103223	0.414	0.363
UP000153470	0.37	0.323
UP000004992	0.368	0.307
UP000158064	0.364	0.318
UP000009115	0.36	0.311
UP000118249	0.351	0.3
UP000009119	0.351	0.313
UP000143713	0.35	0.292
UP000127867	0.348	0.31
UP000009166	0.348	0.308
UP000174597	0.347	0.302
UP000101246	0.347	0.306
UP000163734	0.347	0.304
UP000155350	0.344	0.287
UP000168915	0.344	0.286
UP000007710	0.34	0.303
UP000109192	0.338	0.283
UP000151515	0.335	0.279
UP000127827	0.335	0.296
UP000130331	0.332	0.29
UP000120055	0.331	0.275
UP000115356	0.331	0.294
UP000142218	0.331	0.29
UP000009253	0.329	0.296
UP000113833	0.327	0.278
UP000170217	0.326	0.278
UP000202361	0.323	0.281
UP000099457	0.321	0.29
UP000007670	0.32	0.285
UP000125770	0.319	0.27
UP000120727	0.319	0.273
UP000006372	0.317	0.28
UP000121690	0.316	0.271
UP000140463	0.316	0.274
UP000131008	0.315	0.274
UP000110985	0.314	0.279
UP000113513	0.313	0.271
UP000006367	0.312	0.28
UP000115299	0.311	0.264
UP000009105	0.309	0.276
UP000102297	0.309	0.276
UP000165823	0.308	0.273
UP000140099	0.307	0.264
UP000158640	0.306	0.261
UP000101375	0.305	0.265
UP000156843	0.303	0.271
UP000096688	0.303	0.268
UP000110325	0.297	0.251
UP000129753	0.297	0.263
UP000120518	0.296	0.267
UP000162444	0.295	0.254
UP000103855	0.294	0.261
UP000136351	0.293	0.264
UP000007666	0.292	0.263
UP000004993	0.291	0.247
UP000101558	0.291	0.25
UP000117015	0.291	0.258
UP000139114	0.29	0.242
UP000203499	0.29	0.254
UP000128556	0.29	0.262
UP000009114	0.288	0.263
UP000099345	0.287	0.246
UP000171862	0.285	0.253
UP000009122	0.285	0.257
UP000008692	0.285	0.262
UP000108008	0.282	0.25
UP000162335	0.281	0.254
UP000112284	0.28	0.25
UP000109002	0.28	0.257
UP000158144	0.279	0.237
UP000009118	0.279	0.26
UP000009171	0.279	0.257
UP000150070	0.278	0.249
UP000105550	0.277	0.249
UP000008222	0.277	0.252
UP000103806	0.277	0.251
UP000008695	0.277	0.258
UP000120507	0.276	0.249
UP000157251	0.274	0.25
UP000009113	0.274	0.257
UP000170379	0.273	0.246
UP000009116	0.273	0.248
UP000154903	0.272	0.253
UP000009109	0.271	0.251
UP000112710	0.271	0.242
UP000008226	0.271	0.254
UP000125839	0.27	0.249
UP000141459	0.269	0.242
UP000099010	0.269	0.238
UP000007668	0.269	0.251
UP000126093	0.268	0.242
UP000009251	0.268	0.249
UP000171341	0.268	0.246
UP000168289	0.267	0.239
UP000009125	0.264	0.249
UP000106169	0.259	0.237
UP000107189	0.257	0.23
UP000172995	0.255	0.241
UP000007674	0.254	0.25
UP000158017	0.253	0.232
UP000118566	0.251	0.232
UP000116215	0.247	0.224
UP000002602	0.238	0.208
UP000101337	0.237	0.207
UP000119412	0.232	0.217
UP000113150	0.214	0.197
UP000000869	0.213	0.181
UP000119730	0.22	0.19
UP000114561	0.205	0.181
UP000114294	0.198	0.174
UP000007663	0.198	0.173
UP000008257	0.499	0.407
UP000007551	0.491	0.412
UP000171073	0.486	0.407
UP000122687	0.478	0.404
UP000008258	0.475	0.395
UP000232797	0.415	0.362
UP000111445	0.408	0.348
UP000125118	0.388	0.343
UP000116498	0.381	0.347
UP000147262	0.38	0.336
UP000151607	0.353	0.308
UP000232879	0.351	0.319
UP000162416	0.344	0.31
UP000232595	0.343	0.305
UP000158564	0.34	0.312
UP000172761	0.338	0.319
UP000157177	0.333	0.313
UP000114391	0.332	0.308
UP000202120	0.332	0.295
UP000155130	0.325	0.3
UP000133488	0.323	0.287
UP000161474	0.323	0.295
UP000155489	0.317	0.282
UP000144241	0.312	0.292
UP000140929	0.309	0.286
UP000202482	0.298	0.276
UP000204593	0.292	0.269
UP000154182	0.28	0.263
UP000131520	0.277	0.267
UP000119980	0.276	0.256
UP000114428	0.275	0.258
UP000123729	0.274	0.248
UP000153626	0.252	0.256
UP000140112	0.247	0.223
UP000204118	0.237	0.23
UP000171028	0.229	0.215
UP000202299	0.216	0.204
UP000173005	0.216	0.216
UP000146794	0.206	0.213
UP000232409	0.204	0.237
UP000113390	0.196	0.202
UP000204153	0.192	0.18
UP000204351	0.191	0.192
UP000202873	0.181	0.183
UP000002240	0.403	0.333
UP000009254	0.338	0.284
UP000115060	0.328	0.288
UP000138352	0.307	0.268
UP000123353	0.287	0.249
UP000241097	0.245	0.23
UP000203284	0.233	0.224
UP000131152	0.28	0.248
UP000163232	0.161	0.147
UP000217898	0.295	0.267
UP000204430	0.166	0.154
UP000002097	0.26	0.22
UP000010803	0.253	0.211
UP000001047	0.307	0.257
UP000202948	0.237	0.205
UP000002632	0.291	0.251
UP000201385	0.291	0.25
UP000002633	0.262	0.225
UP000032400	0.26	0.221
UP000203916	0.248	0.216
UP000202982	0.246	0.215
UP000202478	0.232	0.198
UP000010391	0.23	0.203
UP000002373	0.222	0.193
UP000203990	0.221	0.195
UP000027480	0.263	0.224
UP000000965	0.281	0.24
UP000001922	0.28	0.239
UP000001525	0.259	0.22
UP000002375	0.308	0.266
UP000000879	0.292	0.249
UP000001797	0.276	0.24
UP000204354	0.289	0.247
UP000207642	0.272	0.23
UP000016881	0.265	0.228
UP000028565	0.237	0.199
UP000016880	0.236	0.2
UP000000303	0.23	0.195
UP000030738	0.274	0.233
UP000001899	0.272	0.232
UP000030922	0.271	0.227
UP000203623	0.177	0.155
UP000000962	0.263	0.229
UP000002546	0.261	0.22
UP000010368	0.276	0.232
UP000001760	0.289	0.247
UP000001759	0.274	0.233
UP000002174	0.266	0.225
UP000017780	0.298	0.252
UP000203929	0.283	0.236
UP000202993	0.272	0.23
UP000202231	0.262	0.225
UP000001878	0.245	0.211
UP000002117	0.257	0.216
UP000000990	0.246	0.209
UP000008061	0.234	0.203
UP000201749	0.29	0.245
UP000002114	0.274	0.235
UP000007261	0.303	0.253
UP000007262	0.29	0.244
UP000207683	0.289	0.243
UP000001164	0.27	0.23
UP000000250	0.269	0.228
UP000203354	0.267	0.227
UP000201702	0.245	0.21
UP000204630	0.238	0.211
UP000002234	0.221	0.19
UP000001835	0.22	0.194
UP000026904	0.242	0.207
UP000201811	0.255	0.219
UP000001781	0.275	0.233
UP000000252	0.264	0.226
UP000001679	0.257	0.217
UP000001859	0.255	0.216
UP000014700	0.254	0.219
UP000001587	0.253	0.219
UP000000714	0.253	0.213
UP000014704	0.25	0.214
UP000019790	0.247	0.212
UP000203132	0.247	0.212
UP000001250	0.241	0.206
UP000007957	0.24	0.21
UP000014671	0.228	0.197
UP000002158	0.227	0.196
UP000002336	0.227	0.192
UP000000368	0.224	0.189
UP000032686	0.222	0.19
UP000014662	0.219	0.189
UP000007893	0.214	0.183
UP000007895	0.209	0.181
UP000000839	0.209	0.183
UP000006662	0.208	0.18
UP000008071	0.205	0.177
UP000000996	0.257	0.219
UP000014663	0.216	0.186
UP000014669	0.211	0.183
UP000002584	0.281	0.237
UP000001712	0.255	0.218
UP000002583	0.231	0.205
UP000014667	0.217	0.186
UP000000910	0.216	0.185
UP000002585	0.213	0.187
UP000001782	0.213	0.19
UP000001706	0.202	0.188
UP000204274	0.198	0.171
UP000006721	0.184	0.165
UP000001704	0.23	0.2
UP000204240	0.226	0.198
UP000201442	0.225	0.195
UP000008331	0.222	0.191
UP000031721	0.27	0.228
UP000001129	0.259	0.218
UP000001126	0.258	0.218
UP000031722	0.244	0.205
UP000001954	0.242	0.206
UP000001127	0.241	0.204
UP000006829	0.236	0.204
UP000026993	0.227	0.195
UP000001128	0.224	0.191
UP000002091	0.216	0.187
UP000026992	0.238	0.201
UP000201600	0.224	0.194
UP000008151	0.246	0.206
UP000127353	0.278	0.261
UP000106311	0.147	0.14
UP000007705	0.287	0.267
UP000152684	0.172	0.162
UP000113783	0.306	0.258
UP000134610	0.305	0.255
UP000128946	0.281	0.241
UP000101154	0.232	0.204
UP000204307	0.337	0.276
UP000203973	0.252	0.223
UP000203227	0.226	0.219
UP000201362	0.259	0.218
UP000204224	0.255	0.216
UP000202925	0.242	0.207
UP000000901	0.246	0.21
UP000002827	0.284	0.24
UP000148566	0.226	0.195
UP000119221	0.186	0.167
UP000029749	0.236	0.218
UP000099410	0.127	0.12
UP000110521	0.35	0.298
UP000161081	0.28	0.246
UP000120888	0.275	0.239
UP000175168	0.231	0.203
UP000152153	0.196	0.18
UP000142477	0.104	0.095
UP000144012	0.199	0.177
UP000202975	0.379	0.32
UP000201609	0.282	0.241
UP000217338	0.276	0.23
UP000001155	0.243	0.21
UP000001249	0.218	0.187
UP000001864	0.291	0.247
UP000007192	0.111	0.105
UP000204119	0.19	0.183
UP000133604	0.183	0.158
UP000155907	0.116	0.11
UP000139707	0.101	0.095
UP000136399	0.373	0.309
UP000129308	0.338	0.299
UP000122533	0.31	0.265
UP000008479	0.27	0.247
UP000202182	0.218	0.19
UP000158963	0.208	0.212
UP000164653	0.107	0.097
UP000203827	0.238	0.21
UP000130484	0.214	0.18
UP000121784	0.095	0.087
UP000148232	0.213	0.184
UP000109557	0.22	0.195
UP000150460	0.111	0.105
UP000201826	0.371	0.298
UP000000905	0.371	0.306
UP000203363	0.369	0.303
UP000015554	0.366	0.297
UP000018804	0.364	0.298
UP000005654	0.362	0.301
UP000202721	0.361	0.295
UP000204216	0.361	0.296
UP000000967	0.361	0.297
UP000000730	0.36	0.298
UP000000731	0.358	0.299
UP000202242	0.358	0.294
UP000013562	0.358	0.29
UP000015552	0.355	0.292
UP000000904	0.354	0.286
UP000207662	0.354	0.291
UP000002182	0.353	0.289
UP000201810	0.352	0.288
UP000201155	0.352	0.289
UP000029891	0.351	0.286
UP000201966	0.351	0.289
UP000029358	0.35	0.287
UP000002539	0.35	0.291
UP000005652	0.35	0.287
UP000050720	0.349	0.286
UP000202118	0.348	0.286
UP000204231	0.348	0.289
UP000002181	0.348	0.287
UP000019308	0.347	0.286
UP000013556	0.347	0.285
UP000002176	0.346	0.287
UP000029885	0.345	0.282
UP000029340	0.345	0.283
UP000008518	0.345	0.282
UP000000903	0.345	0.283
UP000000907	0.344	0.282
UP000002537	0.344	0.281
UP000015565	0.342	0.282
UP000002406	0.342	0.276
UP000015580	0.342	0.282
UP000201227	0.341	0.277
UP000204305	0.341	0.281
UP000028663	0.339	0.275
UP000029352	0.339	0.278
UP000015579	0.332	0.272
UP000006059	0.332	0.272
UP000002184	0.332	0.275
UP000000964	0.33	0.274
UP000019121	0.33	0.281
UP000000525	0.329	0.27
UP000006819	0.329	0.271
UP000000968	0.327	0.269
UP000031717	0.321	0.262
UP000013542	0.32	0.269
UP000015553	0.319	0.272
UP000000729	0.315	0.268
UP000015922	0.313	0.261
UP000203235	0.308	0.258
UP000015550	0.307	0.258
UP000006815	0.3	0.252
UP000008646	0.294	0.252
UP000002123	0.292	0.249
UP000000963	0.29	0.245
UP000015575	0.289	0.246
UP000001538	0.287	0.246
UP000030714	0.286	0.242
UP000203948	0.281	0.24
UP000015566	0.278	0.237
UP000002133	0.337	0.275
UP000005857	0.34	0.277
UP000002131	0.284	0.242
UP000001838	0.152	0.137
UP000002553	0.153	0.139
UP000174423	0.119	0.112
UP000001157	0.448	0.372
UP000012041	0.207	0.182
UP000005429	0.332	0.275
UP000202663	0.313	0.268
UP000005878	0.322	0.273
UP000002820	0.216	0.192
